beta,se_dk,lo_dk,hi_dk,p_wc,n_obs,n_clusters,spec,h,cluster
0.0028694051514544716,0.01823330385016353,-0.02712171081779525,0.03286052112070419,0.777,6477,12,hr_loo_district,5,district
0.0013925490462748872,0.01688572681878294,-0.026381999955311975,0.029167098047861748,0.899,6426,12,hr_loo_district,6,district
0.004980288575691769,0.01505903443375344,-0.019789618831054685,0.02975019598243822,0.686,6375,12,hr_loo_district,7,district
0.02090743233753306,0.014987510479027364,-0.003744828632868291,0.04555969330793441,0.353,6324,12,hr_loo_district,8,district
0.024048475922265625,0.016055868018998987,-0.0023610768226390057,0.05045802866717025,0.245,6273,12,hr_loo_district,9,district
0.03091338447368342,0.018021078317388237,0.0012713484417508497,0.06055542050561599,0.163,6222,12,hr_loo_district,10,district
0.03227366200558852,0.020418867196307706,-0.0013123857604986494,0.06585970977167568,0.029,6171,12,hr_loo_district,11,district
0.03429783335158447,0.019971611287203508,0.001447456089762822,0.06714821061340612,0.039,6120,12,hr_loo_district,12,district
0.012648986054143458,0.005123679089363817,0.00422128392066797,0.021076688187618944,0.326,6732,12,hr_own_district,0,district
0.005228917171917117,0.01068306585596529,-0.012343162448228822,0.022800996792063058,0.714,6681,12,hr_own_district,1,district
0.02009443459579474,0.010292633758619893,0.0031645586270456494,0.03702431056454383,0.153,6630,12,hr_own_district,2,district
0.021471536257748502,0.011380000006907327,0.00275310197167921,0.040189970543817795,0.308,6579,12,hr_own_district,3,district
0.020139839190723336,0.011028148077170749,0.0020001498274311268,0.03827952855401555,0.23,6528,12,hr_own_district,4,district
0.027459952483514644,0.01734449732441346,-0.0010692068481969325,0.05598911181522622,0.055,6477,12,hr_own_district,5,district
0.018282868933115513,0.014352682140764723,-0.005325192342602959,0.041890930208833985,0.115,6426,12,hr_own_district,6,district
0.011213162945974013,0.012496832096565713,-0.009342296653465667,0.0317686225454137,0.406,6375,12,hr_own_district,7,district
0.010911886353002657,0.010528034087983858,-0.006405188701286323,0.028228961407291638,0.517,6324,12,hr_own_district,8,district
0.024496501855730927,0.017707150264230177,-0.0046291684793627955,0.05362217219082465,0.128,6273,12,hr_own_district,9,district
0.008583829373998847,0.010408176002876308,-0.008536096674281523,0.025703755422279217,0.618,6222,12,hr_own_district,10,district
0.006581232208852844,0.012410288316815187,-0.013831875540574096,0.026994339958279785,0.692,6171,12,hr_own_district,11,district
0.004161308075265549,0.011915965039331834,-0.015438710238306355,0.023761326388837455,0.683,6120,12,hr_own_district,12,district
-0.004532357436112253,0.01393661605636643,-0.027456050903856694,0.01839133603163219,0.948,6732,132,hr_loo_quarter,0,quarter
-0.0025481085037904532,0.017265907127570788,-0.030947998465182536,0.025851781457601627,0.963,6681,131,hr_loo_quarter,1,quarter
