date,district,value,n_docs,n_sections
1975-10-01,Minneapolis,0.0,3,1
1975-10-01,New York,0.0,3,1
1975-10-01,Philadelphia,0.0,3,1
1975-10-01,Richmond,0.0,3,1
1975-10-01,San Francisco,0.0,4,1
1975-10-01,St. Louis,0.0,3,1
1976-01-01,Atlanta,0.0,2,1
1976-01-01,Boston,0.0,3,1
1976-01-01,Chicago,0.0,3,1
1976-01-01,Cleveland,0.0,3,1
1976-01-01,Dallas,0.0,3,1
1976-01-01,Kansas City,0.0,3,1
1976-01-01,Minneapolis,0.0,3,1
1976-01-01,New York,0.008771929824561403,3,1
1976-01-01,Philadelphia,0.0,3,1
1976-01-01,Richmond,0.0,4,2
1976-01-01,San Francisco,0.0,6,1
1976-01-01,St. Louis,0.0,3,1
1976-04-01,Atlanta,0.0,3,1
1976-04-01,Boston,0.0,3,1
1976-04-01,Chicago,0.0,3,1
1976-04-01,Cleveland,0.0,3,1
1976-04-01,Dallas,0.0,3,1
1976-04-01,Kansas City,0.0,3,1
1976-04-01,Minneapolis,0.0,3,1
1976-04-01,New York,0.0,3,1
1976-04-01,Philadelphia,0.0,3,1
1976-04-01,Richmond,0.0,3,1
1976-04-01,San Francisco,0.0,5,1
1976-04-01,St. Louis,0.0,3,1
1976-07-01,Atlanta,0.0,3,1
1976-07-01,Boston,0.0,3,1
1976-07-01,Chicago,0.0,3,1
1976-07-01,Cleveland,0.0,3,1
1976-07-01,Dallas,0.0,3,1
1976-07-01,Kansas City,0.0,3,1
1976-07-01,Minneapolis,0.0,3,1
1976-07-01,New York,0.0,3,1
1976-07-01,Philadelphia,0.0,3,1
1976-07-01,Richmond,0.0,3,1
1976-07-01,San Francisco,0.0,5,1
1976-07-01,St. Louis,0.0,3,1
1976-10-01,Atlanta,0.0,3,1
1976-10-01,Boston,0.0,3,1
1976-10-01,Chicago,0.0,3,1
1976-10-01,Cleveland,0.0,3,1
1976-10-01,Dallas,0.0,3,1
1976-10-01,Kansas City,0.0,3,1
1976-10-01,Minneapolis,0.0,3,1
1976-10-01,New York,0.0,3,1
1976-10-01,Philadelphia,0.0,3,1
1976-10-01,Richmond,0.0,3,1
1976-10-01,San Francisco,0.0,6,1
1976-10-01,St. Louis,0.0,3,1
1977-01-01,Atlanta,0.0,3,1
1977-01-01,Boston,0.0,3,1
1977-01-01,Chicago,0.0,3,1
1977-01-01,Cleveland,0.0,3,1
1977-01-01,Dallas,0.0,3,1
1977-01-01,Kansas City,0.0,3,1
1977-01-01,Minneapolis,0.0,3,1
1977-01-01,New York,0.0,3,1
1977-01-01,Philadelphia,0.0,3,1
1977-01-01,Richmond,0.0,3,1
1977-01-01,San Francisco,0.0,8,2
1977-01-01,St. Louis,0.0,4,2
1977-04-01,Atlanta,0.0,3,1
1977-04-01,Boston,0.0,3,1
1977-04-01,Chicago,0.007575757575757576,3,1
1977-04-01,Cleveland,0.0,3,1
1977-04-01,Dallas,0.0,4,2
1977-04-01,Kansas City,0.0,3,1
1977-04-01,Minneapolis,0.0,3,1
1977-04-01,New York,0.0,3,1
1977-04-01,Philadelphia,0.0,3,1
1977-04-01,Richmond,0.0,3,1
1977-04-01,San Francisco,0.0,5,1
1977-04-01,St. Louis,0.0,3,1
1977-07-01,Atlanta,0.0,3,1
1977-07-01,Boston,0.0,3,1
1977-07-01,Chicago,0.0,3,1
1977-07-01,Cleveland,0.0,3,1
1977-07-01,Dallas,0.0,3,1
1977-07-01,Kansas City,0.0,3,1
1977-07-01,Minneapolis,0.0,6,4
1977-07-01,New York,0.0,3,1
1977-07-01,Philadelphia,0.0,3,1
1977-07-01,Richmond,0.0,3,1
1977-07-01,San Francisco,0.0,6,1
1977-07-01,St. Louis,0.0,3,1
1977-10-01,Atlanta,0.0,3,1
1977-10-01,Boston,0.0,2,1
1977-10-01,Chicago,0.0,3,1
1977-10-01,Cleveland,0.0,3,1
1977-10-01,Dallas,0.0,3,1
1977-10-01,Kansas City,0.0,3,1
1977-10-01,Minneapolis,0.0,6,3
1977-10-01,New York,0.0,3,1
1977-10-01,Philadelphia,0.0,3,1
1977-10-01,Richmond,0.0,3,1
1977-10-01,San Francisco,0.0,6,2
1977-10-01,St. Louis,0.0,3,1
1978-01-01,Atlanta,0.0,3,1
1978-01-01,Boston,0.0,3,1
1978-01-01,Chicago,0.0,3,1
1978-01-01,Cleveland,0.0,3,1
1978-01-01,Dallas,0.0,3,1
1978-01-01,Kansas City,0.0,3,1
1978-01-01,Minneapolis,0.0,7,5
1978-01-01,New York,0.0,3,1
1978-01-01,Philadelphia,0.0,3,1
1978-01-01,Richmond,0.0,3,1
1978-01-01,San Francisco,0.0,7,1
1978-01-01,St. Louis,0.0,3,1
1978-04-01,Atlanta,0.0,3,1
1978-04-01,Boston,0.0,3,1
1978-04-01,Chicago,0.0,3,1
1978-04-01,Cleveland,0.0,3,1
1978-04-01,Dallas,0.0,3,1
1978-04-01,Kansas City,0.008771929824561403,3,1
1978-04-01,Minneapolis,0.0,7,5
1978-04-01,New York,0.0,3,1
1978-04-01,Philadelphia,0.0,3,1
1978-04-01,Richmond,0.0,3,1
1978-04-01,San Francisco,0.0,6,1
1978-04-01,St. Louis,0.0,3,1
1978-07-01,Atlanta,0.0,3,1
1978-07-01,Boston,0.0,3,1
1978-07-01,Chicago,0.0,3,1
1978-07-01,Cleveland,0.0,3,1
1978-07-01,Dallas,0.0,3,1
1978-07-01,Kansas City,0.0,3,1
1978-07-01,Minneapolis,0.0,2,1
1978-07-01,New York,0.0,3,1
1978-07-01,Philadelphia,0.0,3,1
1978-07-01,Richmond,0.0,3,1
1978-07-01,San Francisco,0.0,6,1
1978-07-01,St. Louis,0.0,4,2
1978-10-01,Atlanta,0.0,4,2
1978-10-01,Boston,0.0,3,1
1978-10-01,Chicago,0.0,2,1
1978-10-01,Cleveland,0.0,3,1
1978-10-01,Dallas,0.0,3,1
1978-10-01,Kansas City,0.0,3,1
1978-10-01,Minneapolis,0.0,3,1
1978-10-01,New York,0.01075268817204301,3,1
1978-10-01,Philadelphia,0.0,3,1
1978-10-01,Richmond,0.0,3,1
1978-10-01,San Francisco,0.0,6,1
1978-10-01,St. Louis,0.0,3,1
1979-01-01,Atlanta,0.0,3,2
1979-01-01,Boston,0.0,2,1
1979-01-01,Chicago,0.0,1,1
1979-01-01,Cleveland,0.0,3,2
1979-01-01,Dallas,0.0,2,1
1979-01-01,Kansas City,0.0,2,1
1979-01-01,Minneapolis,0.0,2,1
1979-01-01,New York,0.0,2,1
1979-01-01,Philadelphia,0.0,2,1
1979-01-01,Richmond,,0,0
1979-01-01,San Francisco,0.0,4,1
1979-01-01,St. Louis,0.0,2,1
1979-04-01,Atlanta,0.0,2,1
1979-04-01,Boston,0.0,2,1
1979-04-01,Chicago,0.0,2,1
