beta,se_dk,lo_dk,hi_dk,t_crve,p_wc,n_obs,n_states,n_districts,model,sector,h
0.017331796840319196,0.053164168471748416,-0.07011547849429528,0.10477907217493368,0.2849517441807347,0.786,5535,45,12,A_own,education_health,9
0.010832672388255906,0.061733703927663176,-0.0907102344223092,0.112375579198821,0.2223924783016479,0.826,5490,45,12,A_own,education_health,10
0.03291620224356172,0.060688905232551625,-0.06690816364391498,0.1327405681310384,0.6458463275571507,0.583,5445,45,12,A_own,education_health,11
-0.009811496657107418,0.06034105707108774,-0.10906370323457185,0.08944070992035702,-0.2278792844317208,0.811,5400,45,12,A_own,education_health,12
0.13092000631665868,0.07741237085540074,0.0035879873442403454,0.258252025289077,1.7574971762257474,0.256,5940,45,12,A_own,leisure_hosp,0
0.0678297450468301,0.06037341999348155,-0.031475693800912544,0.16713518389457277,1.4207988643857077,0.252,5895,45,12,A_own,leisure_hosp,1
0.05185247916403553,0.07145012011791166,-0.06567251005802979,0.16937746838610085,1.6329885567406852,0.213,5850,45,12,A_own,leisure_hosp,2
0.029930920171608234,0.08267995303584665,-0.1060655004555815,0.16592734079879795,0.9970760816592374,0.346,5805,45,12,A_own,leisure_hosp,3
0.03315983090632469,0.10059256232302315,-0.13230021007504192,0.19861987188769128,0.6446989036691679,0.572,5760,45,12,A_own,leisure_hosp,4
0.07604477658479579,0.0962364020760406,-0.08225001841473976,0.23433957158433133,1.2638825346737566,0.321,5715,45,12,A_own,leisure_hosp,5
0.138021428930795,0.09295200574521525,-0.01487101485163636,0.29091387271322633,3.3312701198055334,0.084,5670,45,12,A_own,leisure_hosp,6
0.13217456142336578,0.08221847039572584,-0.0030627878094461047,0.26741191065617764,1.7956269139092929,0.216,5625,45,12,A_own,leisure_hosp,7
0.10943932187183689,0.0856520602531899,-0.031445780091488545,0.2503244238351623,1.1939268581504163,0.298,5580,45,12,A_own,leisure_hosp,8
0.0720707622940447,0.0872907449439172,-0.07150973612625337,0.21565126071434276,0.6877610440332708,0.504,5535,45,12,A_own,leisure_hosp,9
0.07631898837462796,0.09099582174476353,-0.07335581905967596,0.22599379580893186,0.9001968162617133,0.389,5490,45,12,A_own,leisure_hosp,10
0.10301131999598213,0.09803896839683952,-0.058248432754140086,0.26427107274610434,1.1565206903352943,0.345,5445,45,12,A_own,leisure_hosp,11
0.02776149936982745,0.09155333186018665,-0.12283033059989232,0.1783533293395472,0.33117437663214155,0.769,5400,45,12,A_own,leisure_hosp,12
0.05911816877147515,0.05548772373957405,-0.03215101487284452,0.15038735241579482,0.5361284982766712,0.842,5940,45,12,A_own,government,0
0.02438490057252248,0.0766240537816732,-0.10165045220198733,0.1504202533470323,0.3383584796917152,0.776,5895,45,12,A_own,government,1
