proxy,sample,detrend,scheme,family,sigma_hat,se,resp_h12,peak_h,n_obs,error,diag_n_fail,ci_lo,ci_hi,diag_n_accepted,diag_n_trad,diag_n_narr,diag_ess,diag_events,diag_first_stage_F,diag_fev_share,diag_u_col,diag_var_ratio,diag_k_breaks,diag_kurt,diag_p_aug,diag_hd_events
epu,full,fd,magmav,heteroskedasticity,,,,-1,857,"ValueError: run_scheme[magmav]: identification failed (eu=(0, 0), k_breaks=4) — Cholesky fallback rejected as a distinct scheme; spec marked failed.",,,,,,,,,,,,,,,,
epu,full,fd,la_lp,local-projection,,,,-1,0,la_lp is detrend-invariant; kept only under lt,,,,,,,,,,,,,,,,
epu,full,fd,narrative_t2,narrative-sign,,,,-1,0,narrative kept only under lt (baseline detrending) — Phase 2 grid scope; skip logged,,,,,,,,,,,,,,,,
epu,full,fd,narrative_t3,narrative-sign,,,,-1,0,narrative kept only under lt (baseline detrending) — Phase 2 grid scope; skip logged,,,,,,,,,,,,,,,,
epu,post1985,fd,narrative,narrative-sign,,,,-1,0,narrative kept only under lt (baseline detrending) — Phase 2 grid scope; skip logged,,,,,,,,,,,,,,,,
epu,post1985,fd,magmav,heteroskedasticity,,,,-1,491,"ValueError: run_scheme[magmav]: identification failed (eu=(0, 0), k_breaks=4) — Cholesky fallback rejected as a distinct scheme; spec marked failed.",,,,,,,,,,,,,,,,
epu,post1985,fd,la_lp,local-projection,,,,-1,0,la_lp is detrend-invariant; kept only under lt,,,,,,,,,,,,,,,,
epu,post1985,fd,narrative_t2,narrative-sign,,,,-1,0,narrative kept only under lt (baseline detrending) — Phase 2 grid scope; skip logged,,,,,,,,,,,,,,,,
epu,post1985,fd,narrative_t3,narrative-sign,,,,-1,0,narrative kept only under lt (baseline detrending) — Phase 2 grid scope; skip logged,,,,,,,,,,,,,,,,
epu,pre2020,lt,narrative_t3,narrative-sign,,,,-1,786,"ValueError: run_scheme[narrative_t3]: Type III restricts the COVID month, which is outside this cell's window — cell would duplicate narrative_t2.",,,,,,,,,,,,,,,,
epu,pre2020,fd,narrative,narrative-sign,,,,-1,0,narrative kept only under lt (baseline detrending) — Phase 2 grid scope; skip logged,,,,,,,,,,,,,,,,
epu,pre2020,fd,magmav,heteroskedasticity,,,,-1,786,"ValueError: run_scheme[magmav]: identification failed (eu=(0, 0), k_breaks=4) — Cholesky fallback rejected as a distinct scheme; spec marked failed.",,,,,,,,,,,,,,,,
epu,pre2020,fd,la_lp,local-projection,,,,-1,0,la_lp is detrend-invariant; kept only under lt,,,,,,,,,,,,,,,,
epu,pre2020,fd,narrative_t2,narrative-sign,,,,-1,0,narrative kept only under lt (baseline detrending) — Phase 2 grid scope; skip logged,,,,,,,,,,,,,,,,
epu,pre2020,fd,narrative_t3,narrative-sign,,,,-1,0,narrative kept only under lt (baseline detrending) — Phase 2 grid scope; skip logged,,,,,,,,,,,,,,,,
wui,full,fd,narrative,narrative-sign,,,,-1,0,narrative kept only under lt (baseline detrending) — Phase 2 grid scope; skip logged,,,,,,,,,,,,,,,,
wui,full,fd,magmav,heteroskedasticity,,,,-1,841,"ValueError: run_scheme[magmav]: identification failed (eu=(0, 0), k_breaks=4) — Cholesky fallback rejected as a distinct scheme; spec marked failed.",,,,,,,,,,,,,,,,
wui,full,fd,la_lp,local-projection,,,,-1,0,la_lp is detrend-invariant; kept only under lt,,,,,,,,,,,,,,,,
wui,full,fd,narrative_t2,narrative-sign,,,,-1,0,narrative kept only under lt (baseline detrending) — Phase 2 grid scope; skip logged,,,,,,,,,,,,,,,,
wui,full,fd,narrative_t3,narrative-sign,,,,-1,0,narrative kept only under lt (baseline detrending) — Phase 2 grid scope; skip logged,,,,,,,,,,,,,,,,
wui,post1985,fd,narrative,narrative-sign,,,,-1,0,narrative kept only under lt (baseline detrending) — Phase 2 grid scope; skip logged,,,,,,,,,,,,,,,,
wui,post1985,fd,magmav,heteroskedasticity,,,,-1,475,"ValueError: run_scheme[magmav]: identification failed (eu=(0, 0), k_breaks=4) — Cholesky fallback rejected as a distinct scheme; spec marked failed.",,,,,,,,,,,,,,,,
wui,post1985,fd,la_lp,local-projection,,,,-1,0,la_lp is detrend-invariant; kept only under lt,,,,,,,,,,,,,,,,
wui,post1985,fd,narrative_t2,narrative-sign,,,,-1,0,narrative kept only under lt (baseline detrending) — Phase 2 grid scope; skip logged,,,,,,,,,,,,,,,,
wui,post1985,fd,narrative_t3,narrative-sign,,,,-1,0,narrative kept only under lt (baseline detrending) — Phase 2 grid scope; skip logged,,,,,,,,,,,,,,,,
wui,pre2020,lt,narrative_t3,narrative-sign,,,,-1,786,"ValueError: run_scheme[narrative_t3]: Type III restricts the COVID month, which is outside this cell's window — cell would duplicate narrative_t2.",,,,,,,,,,,,,,,,
