beta,psik,ok,n_stable,margin,robust
0.92975,7.5625,True,12,0.05177211609560506,True
0.937,7.5625,True,12,0.04978732377714734,True
0.94425,7.5625,True,12,0.04757967035052246,True
0.9515,7.5625,True,12,0.04510466329354723,True
0.95875,7.5625,True,12,0.04230549552445084,True
0.966,7.5625,True,12,0.03911064515749474,True
0.97325,7.5625,True,12,0.035434279840007465,True
0.9805,7.5625,True,12,0.031191732802314243,True
0.98775,7.5625,True,12,0.026369427671157575,True
0.995,7.5625,True,12,0.021255206087023804,True
0.85,8.05,True,12,0.06274480843956398,True
0.85725,8.05,True,12,0.06195434121764498,True
0.8644999999999999,8.05,True,12,0.061113890195416576,True
0.87175,8.05,True,12,0.06021819615298474,True
0.879,8.05,True,12,0.05926113788215326,True
0.88625,8.05,True,12,0.05823549296071928,True
0.8935,8.05,True,12,0.05713291197968495,True
0.9007499999999999,8.05,True,12,0.05594343280352032,True
0.908,8.05,True,12,0.05465512770056846,True
0.91525,8.05,True,12,0.05325369661189838,True
0.9225,8.05,True,12,0.05172160705494322,True
0.92975,8.05,True,12,0.050037287790280716,True
0.937,8.05,True,12,0.048173966237338606,True
0.94425,8.05,True,12,0.04609769462929536,True
0.9515,8.05,True,12,0.04376528840594429,True
0.95875,8.05,True,12,0.041121495146150266,True
0.966,8.05,True,12,0.038096268763915586,True
0.97325,8.05,True,12,0.034604492016432786,True
0.9805,8.05,True,12,0.030560167007477546,True
0.98775,8.05,True,12,0.025941964438410903,True
0.995,8.05,True,12,0.02101585806712214,True
0.85,8.5375,True,12,0.06030342884566464,True
0.85725,8.5375,True,12,0.05956934164350636,True
0.8644999999999999,8.5375,True,12,0.05878814892534456,True
0.87175,8.5375,True,12,0.05795474652601762,True
0.879,8.5375,True,12,0.05706330749178634,True
0.88625,8.5375,True,12,0.056107020056974655,True
0.8935,8.5375,True,12,0.05507784055338805,True
0.9007499999999999,8.5375,True,12,0.05396621205442009,True
0.908,8.5375,True,12,0.052760816404788025,True
0.91525,8.5375,True,12,0.051447883535886585,True
0.9225,8.5375,True,12,0.05001056419339356,True
0.92975,8.5375,True,12,0.048428164371795535,True
0.937,8.5375,True,12,0.04667480621393505,True
0.94425,8.5375,True,12,0.04471774065421252,True
0.9515,8.5375,True,12,0.042515130524970246,True
0.95875,8.5375,True,12,0.040013196873169066,True
0.966,8.5375,True,12,0.037143346163438506,True
0.97325,8.5375,True,12,0.033821528122475075,True
0.9805,8.5375,True,12,0.029960771427297583,True
0.98775,8.5375,True,12,0.025533111741884995,True
0.995,8.5375,True,12,0.020784568496235334,True
0.85,9.025,True,12,0.05805505839934322,True
0.85725,9.025,True,12,0.05737151072586388,True
0.8644999999999999,9.025,True,12,0.05664344343551164,True
0.87175,9.025,True,12,0.055865941812633935,True
0.879,9.025,True,12,0.05503352193544486,True
0.88625,9.025,True,12,0.05413964523201564,True
0.8935,9.025,True,12,0.053176605994786574,True
0.9007499999999999,9.025,True,12,0.05213524709609996,True
0.908,9.025,True,12,0.05100477399099512,True
0.91525,9.025,True,12,0.04977189793502623,True
0.9225,9.025,True,12,0.04842052915498629,True
0.92975,9.025,True,12,0.04693063541348497,True
0.937,9.025,True,12,0.04527732036627674,True
0.94425,9.025,True,12,0.04342895221788612,True
0.9515,9.025,True,12,0.04134493362712355,True
0.95875,9.025,True,12,0.03897299011469035,True
0.966,9.025,True,12,0.036246030153330944,True
0.97325,9.025,True,12,0.03308116043891174,True
0.9805,9.025,True,12,0.029390849234974148,True
0.98775,9.025,True,12,0.025141520557074193,True
0.995,9.025,True,12,0.020560886649013232,True
0.85,9.5125,True,12,0.05597678793266225,True
0.85725,9.5125,True,12,0.055338728424129346,True
0.8644999999999999,9.5125,True,12,0.05465851201128602,True
0.87175,9.5125,True,12,0.05393153712222298,True
0.879,9.5125,True,12,0.053152394084024834,True
0.88625,9.5125,True,12,0.052314910588329155,True
0.8935,9.5125,True,12,0.05141172541546479,True
0.9007499999999999,9.5125,True,12,0.050434120513105696,True
0.908,9.5125,True,12,0.0493715689103309,True
0.91525,9.5125,True,12,0.04821147393916181,True
0.9225,9.5125,True,12,0.04693826333489104,True
0.92975,9.5125,True,12,0.04553275800511514,True
0.937,9.5125,True,12,0.043970801948201355,True
0.94425,9.5125,True,12,0.042221879397544626,True
0.9515,9.5125,True,12,0.04024666859405934,True
0.95875,9.5125,True,12,0.03799427129773458,True
0.966,9.5125,True,12,0.03539914784199194,True
0.97325,9.5125,True,12,0.03237965581179769,True
0.9805,9.5125,True,12,0.02884806582068855,True
