code,date,Y,C,I,K,EMP,H,use_hours,alpha,alpha_c,logA,logS,logD
KOR,2005-07-01,321379300.0,208789200.0,117783700.0,4623885390.5804,22807.6,10947648.0,0,0.5,0.5,0.356564414033711,0.0234122613642677,0.0346524857926866
KOR,2005-10-01,325066900.0,210556800.0,115171600.0,4672310809.72169,22944.6,11013408.0,0,0.5,0.5,0.359769763314446,0.0263909032398519,-0.0617117291603357
KOR,2006-01-01,330234400.0,214101400.0,121173400.0,4717397747.57586,23088.3,11082384.0,0,0.5,0.5,0.367617994091007,0.0254683171630596,0.113609203080826
KOR,2006-04-01,332617800.0,216396200.0,117927200.0,4767810181.36223,23121.5,11098320.0,0,0.5,0.5,0.368776011811348,0.021998442714381,-0.0122662694259189
KOR,2006-07-01,337830800.0,218808500.0,125824000.0,4814220228.64179,23200.5,11136240.0,0,0.5,0.5,0.377778168470518,0.0264636067654333,-0.0084868025870197
KOR,2006-10-01,340636500.0,221312600.0,121537900.0,4867830925.21217,23333.2,11199936.0,0,0.5,0.5,0.377660033503451,0.0233550909864725,0.0009262585638019
KOR,2007-01-01,346675000.0,224752800.0,125881300.0,4916351361.33398,23483.2,11271936.0,0,0.5,0.5,0.387068722669993,0.0255019564715769,0.0804181579108192
KOR,2007-04-01,352543600.0,228349800.0,129919600.0,4968487390.91397,23500.9,11280432.0,0,0.5,0.5,0.398204168510999,0.0264109851574774,0.0834939663279251
KOR,2007-07-01,356718200.0,230551200.0,127153100.0,5023879680.05026,23567.5,11312400.0,0,0.5,0.5,0.403017500314737,0.0285884971409505,-0.0545310934248858
KOR,2007-10-01,363742300.0,233302300.0,128916600.0,5075674584.84951,23688.0,11370240.0,0,0.5,0.5,0.41483858291745,0.0362259587395187,-0.0121037150798712
KOR,2008-01-01,366484800.0,234742100.0,132352800.0,5128456066.07677,23775.4,11412192.0,0,0.5,0.5,0.415335952722952,0.0375849287624709,-0.144596577873963
KOR,2008-04-01,367818800.0,235005600.0,132859400.0,5183882025.08562,23771.3,11410224.0,0,0.5,0.5,0.413680787675355,0.0400964283454687,-0.27329028106036
KOR,2008-07-01,370260100.0,236401100.0,135332700.0,5238983194.70933,23772.2,11410656.0,0,0.5,0.5,0.414990547980232,0.0407911393828334,-0.139406191991924
KOR,2008-10-01,357768200.0,231780100.0,110840700.0,5295731146.78869,23778.1,11413488.0,0,0.5,0.5,0.375159218202941,0.0262115597005692,-1.12939209675022
KOR,2009-01-01,358711700.0,231371200.0,103007400.0,5327135879.58686,23641.1,11347728.0,0,0.5,0.5,0.377725720801412,0.0306110009815412,-0.307790960325481
KOR,2009-04-01,363561000.0,236770800.0,114644300.0,5350236241.39306,23620.8,11337984.0,0,0.5,0.5,0.389419845373226,0.0209698576215316,0.264657784297569
KOR,2009-07-01,374652000.0,239646300.0,128646100.0,5384626997.77216,23734.2,11392416.0,0,0.5,0.5,0.413871999535043,0.0389488552002781,0.0220784104896485
KOR,2009-10-01,377396300.0,240579100.0,129418100.0,5432503692.80558,23762.7,11406096.0,0,0.5,0.5,0.416144158357904,0.042362241758002,-0.175370398122153
KOR,2010-01-01,386238500.0,243696000.0,139933400.0,5480434237.4135,23748.1,11399088.0,0,0.568197901621425,0.5,0.43521856960248,0.0526488538255457,0.0268395540593794
KOR,2010-04-01,392479000.0,246285500.0,133385100.0,5538161123.85229,24066.2,11551776.0,0,0.572456795529634,0.5,0.439354538146596,0.0581069469008227,-0.0300662482786513
KOR,2010-07-01,396469600.0,248307800.0,140215400.0,5588473806.99451,24121.3,11578224.0,0,0.572130720037856,0.5,0.443805567578209,0.0600456080248988,-0.0873040690221822
KOR,2010-10-01,402066000.0,250061700.0,144061600.0,5644862099.88959,24184.8,11608704.0,0,0.572491338725083,0.5,0.451488149677675,0.0670239132282084,-0.119126278319577
KOR,2011-01-01,405904800.0,251819300.0,143681100.0,5704250768.39125,24259.1,11644368.0,0,0.567322475020728,0.5,0.454223872160536,0.0695222289341238,-0.119017915661639
KOR,2011-04-01,407666700.0,253536300.0,151554300.0,5762368106.86538,24564.4,11790912.0,0,0.562224843962587,0.5,0.447233496729895,0.0670582671319224,-0.118403273646626
KOR,2011-07-01,409552300.0,254394700.0,139612400.0,5827486885.2624,24557.2,11787456.0,0,0.561716123832478,0.5,0.446376094065252,0.0682929603428975,-0.200565211838327
KOR,2011-10-01,412298900.0,255651100.0,141657900.0,5879686981.98346,24718.0,11864640.0,0,0.564639746050296,0.5,0.445337895145841,0.0700502938674046,-0.157183061102571
KOR,2012-01-01,416240700.0,258126300.0,147423700.0,5933149577.25371,24774.0,11891520.0,0,0.564633592965738,0.5,0.449195689673462,0.0699300450732503,-0.041536995655354
KOR,2012-04-01,417998000.0,258525500.0,143442000.0,5991576033.5949,25011.0,12005280.0,0,0.562873301336171,0.5,0.443748487673265,0.0725976590989752,-0.244233700732016
KOR,2012-07-01,419861600.0,260675400.0,138391200.0,6045144393.09098,25020.0,12009600.0,0,0.557241627916127,0.5,0.443566643618194,0.0687645244034721,-0.0635763726743113
KOR,2012-10-01,422987500.0,261633100.0,136158600.0,6092858427.19462,25004.2,12002016.0,0,0.557239123622774,0.5,0.447369002614206,0.0725148335440746,-0.180546618622328
KOR,2013-01-01,426342400.0,262813000.0,140325600.0,6137624150.7867,24902.1,11953008.0,0,0.557949025110626,0.5,0.453654798141175,0.0759153730294196,-0.158941974932256
KOR,2013-04-01,431160100.0,265719500.0,140343700.0,6185885388.5249,25318.4,12152832.0,0,0.556786009930066,0.5,0.452685655565334,0.0761535881233161,-0.0037034399982379
KOR,2013-07-01,435484700.0,267325700.0,145176700.0,6233440807.69702,25385.5,12185040.0,0,0.554936996162017,0.5,0.457513300793817,0.080107244861244,-0.125166560687866
KOR,2013-10-01,439300300.0,269594600.0,147946900.0,6285115895.58157,25556.2,12266976.0,0,0.554392465802299,0.5,0.458758066654448,0.0803792311149169,-0.0658236285311624
KOR,2014-01-01,442669900.0,270848400.0,145949700.0,6338786057.14784,25711.3,12341424.0,0,0.552860986759469,0.5,0.459122363376443,0.0833804371935415,-0.160581316449139
KOR,2014-04-01,446872400.0,271489800.0,147739100.0,6389653966.29063,25874.9,12419952.0,0,0.551088276639132,0.5,0.461403292605194,0.0904638720348065,-0.223588658969244
KOR,2014-07-01,448023500.0,272816900.0,151579600.0,6441548256.79627,25988.4,12474432.0,0,0.545825343150889,0.5,0.457743030251981,0.0881601585920507,-0.150328266738077
KOR,2014-10-01,450409200.0,274840200.0,151281100.0,6496504632.94432,26001.1,12480528.0,0,0.546150821560494,0.5,0.458561886801688,0.0860820114386468,-0.0835035351357163
