serie,edicion,periodo,valor
B1GQ_Q,200005,1997-Q1,1348407000000
B1GQ_Q,200005,1997-Q2,1369833000000
B1GQ_Q,200005,1997-Q3,1395795000000
B1GQ_Q,200005,1997-Q4,1410806000000
B1GQ_Q,200005,1998-Q1,1427388000000
B1GQ_Q,200005,1998-Q2,1450465000000
B1GQ_Q,200005,1998-Q3,1466791000000
B1GQ_Q,200005,1998-Q4,1448479000000
B1GQ_Q,200005,1999-Q1,1460069000000
B1GQ_Q,200005,1999-Q2,1489776000000
B1GQ_Q,200005,1999-Q3,1529563000000
B1GQ_Q,200005,1999-Q4,1523811000000
B1GQ_Q,200006,1993-Q1,1250399000000
B1GQ_Q,200006,1993-Q2,1246895000000
B1GQ_Q,200006,1993-Q3,1261667000000
B1GQ_Q,200006,1993-Q4,1265846000000
B1GQ_Q,200006,1994-Q1,1286243000000
B1GQ_Q,200006,1994-Q2,1311989000000
B1GQ_Q,200006,1994-Q3,1319654000000
B1GQ_Q,200006,1994-Q4,1330361000000
B1GQ_Q,200006,1995-Q1,1268600000000
B1GQ_Q,200006,1995-Q2,1203642000000
B1GQ_Q,200006,1995-Q3,1213547000000
B1GQ_Q,200006,1995-Q4,1235509000000
B1GQ_Q,200006,1996-Q1,1268753000000
B1GQ_Q,200006,1996-Q2,1283483000000
B1GQ_Q,200006,1996-Q3,1299456000000
B1GQ_Q,200006,1996-Q4,1322705000000
B1GQ_Q,200006,1997-Q1,1348407000000
B1GQ_Q,200006,1997-Q2,1369833000000
B1GQ_Q,200006,1997-Q3,1395795000000
B1GQ_Q,200006,1997-Q4,1410806000000
B1GQ_Q,200006,1998-Q1,1427388000000
B1GQ_Q,200006,1998-Q2,1450465000000
B1GQ_Q,200006,1998-Q3,1466791000000
B1GQ_Q,200006,1998-Q4,1448479000000
B1GQ_Q,200006,1999-Q1,1460069000000
B1GQ_Q,200006,1999-Q2,1489776000000
B1GQ_Q,200006,1999-Q3,1529563000000
B1GQ_Q,200006,1999-Q4,1523811000000
B1GQ_Q,200007,1993-Q1,1249988000000
B1GQ_Q,200007,1993-Q2,1247115000000
B1GQ_Q,200007,1993-Q3,1261764000000
B1GQ_Q,200007,1993-Q4,1265890000000
B1GQ_Q,200007,1994-Q1,1286432000000
B1GQ_Q,200007,1994-Q2,1311560000000
B1GQ_Q,200007,1994-Q3,1319791000000
B1GQ_Q,200007,1994-Q4,1330491000000
B1GQ_Q,200007,1995-Q1,1268504000000
B1GQ_Q,200007,1995-Q2,1203604000000
B1GQ_Q,200007,1995-Q3,1213125000000
B1GQ_Q,200007,1995-Q4,1236126000000
B1GQ_Q,200007,1996-Q1,1268881000000
B1GQ_Q,200007,1996-Q2,1283349000000
B1GQ_Q,200007,1996-Q3,1297948000000
B1GQ_Q,200007,1996-Q4,1324182000000
B1GQ_Q,200007,1997-Q1,1349866000000
B1GQ_Q,200007,1997-Q2,1368851000000
B1GQ_Q,200007,1997-Q3,1392354000000
B1GQ_Q,200007,1997-Q4,1413476000000
B1GQ_Q,200007,1998-Q1,1428969000000
B1GQ_Q,200007,1998-Q2,1450006000000
B1GQ_Q,200007,1998-Q3,1461376000000
B1GQ_Q,200007,1998-Q4,1452162000000
B1GQ_Q,200007,1999-Q1,1463065000000
B1GQ_Q,200007,1999-Q2,1488803000000
B1GQ_Q,200007,1999-Q3,1522197000000
B1GQ_Q,200007,1999-Q4,1529423000000
B1GQ_Q,200007,2000-Q1,1573661000000
B1GQ_Q,200008,1993-Q1,1249988000000
B1GQ_Q,200008,1993-Q2,1247115000000
B1GQ_Q,200008,1993-Q3,1261764000000
B1GQ_Q,200008,1993-Q4,1265890000000
B1GQ_Q,200008,1994-Q1,1286432000000
B1GQ_Q,200008,1994-Q2,1311560000000
B1GQ_Q,200008,1994-Q3,1319791000000
B1GQ_Q,200008,1994-Q4,1330491000000
B1GQ_Q,200008,1995-Q1,1268504000000
B1GQ_Q,200008,1995-Q2,1203604000000
B1GQ_Q,200008,1995-Q3,1213125000000
B1GQ_Q,200008,1995-Q4,1236126000000
B1GQ_Q,200008,1996-Q1,1268881000000
B1GQ_Q,200008,1996-Q2,1283349000000
B1GQ_Q,200008,1996-Q3,1297948000000
B1GQ_Q,200008,1996-Q4,1324182000000
B1GQ_Q,200008,1997-Q1,1349866000000
B1GQ_Q,200008,1997-Q2,1368851000000
B1GQ_Q,200008,1997-Q3,1392354000000
B1GQ_Q,200008,1997-Q4,1413476000000
B1GQ_Q,200008,1998-Q1,1428969000000
B1GQ_Q,200008,1998-Q2,1450006000000
B1GQ_Q,200008,1998-Q3,1461376000000
B1GQ_Q,200008,1998-Q4,1452162000000
B1GQ_Q,200008,1999-Q1,1463065000000
B1GQ_Q,200008,1999-Q2,1488803000000
B1GQ_Q,200008,1999-Q3,1522197000000
B1GQ_Q,200008,1999-Q4,1529423000000
B1GQ_Q,200008,2000-Q1,1573661000000
B1GQ_Q,200009,1993-Q1,1249988000000
B1GQ_Q,200009,1993-Q2,1247115000000
B1GQ_Q,200009,1993-Q3,1261764000000
B1GQ_Q,200009,1993-Q4,1265890000000
B1GQ_Q,200009,1994-Q1,1286432000000
