code,periodo,valor,variable,price_base
IDN,2012-Q4,1090745857.2,conh_vol,Q
IDN,2013-Q1,1105713955.5,conh_vol,Q
IDN,2013-Q2,1119956670.2,conh_vol,Q
IDN,2013-Q3,1135581696.3,conh_vol,Q
IDN,2013-Q4,1150782587.8,conh_vol,Q
IDN,2014-Q1,1166235972.2,conh_vol,Q
IDN,2014-Q2,1181062083.9,conh_vol,Q
IDN,2014-Q3,1194378364.7,conh_vol,Q
IDN,2014-Q4,1208762022.4,conh_vol,Q
IDN,2015-Q1,1222705556.7,conh_vol,Q
IDN,2015-Q2,1236943340.2,conh_vol,Q
IDN,2015-Q3,1252755212.9,conh_vol,Q
IDN,2015-Q4,1268026550.5,conh_vol,Q
IDN,2016-Q1,1283884434.8,conh_vol,Q
IDN,2016-Q2,1299949831.8,conh_vol,Q
IDN,2016-Q3,1315958668.7,conh_vol,Q
IDN,2016-Q4,1331877304.7,conh_vol,Q
IDN,2017-Q1,1348295046.0,conh_vol,Q
IDN,2017-Q2,1364249663.9,conh_vol,Q
IDN,2017-Q3,1381428663.9,conh_vol,Q
IDN,2017-Q4,1398319620.0,conh_vol,Q
IDN,2018-Q1,1415461331.6,conh_vol,Q
IDN,2018-Q2,1434430176.4,conh_vol,Q
IDN,2018-Q3,1451933809.7,conh_vol,Q
IDN,2018-Q4,1472600793.9,conh_vol,Q
IDN,2019-Q1,1494407366.6,conh_vol,Q
IDN,2019-Q2,1515515702.3,conh_vol,Q
IDN,2019-Q3,1522417310.6,conh_vol,Q
IDN,2019-Q4,1540086494.9,conh_vol,Q
IDN,2020-Q1,1536879701.9,conh_vol,Q
IDN,2020-Q2,1435567711.4,conh_vol,Q
IDN,2020-Q3,1462018427.1,conh_vol,Q
IDN,2020-Q4,1476064068.8,conh_vol,Q
IDN,2021-Q1,1492362813.2,conh_vol,Q
IDN,2021-Q2,1506413253.8,conh_vol,Q
IDN,2021-Q3,1493942825.4,conh_vol,Q
IDN,2021-Q4,1536354879.7,conh_vol,Q
IDN,2022-Q1,1554539055.8,conh_vol,Q
IDN,2022-Q2,1574244208.5,conh_vol,Q
IDN,2022-Q3,1587239439.8,conh_vol,Q
IDN,2022-Q4,1611824823.5,conh_vol,Q
IDN,2023-Q1,1627430851.4,conh_vol,Q
IDN,2023-Q2,1651349309.8,conh_vol,Q
IDN,2023-Q3,1670848168.8,conh_vol,Q
IDN,2023-Q4,1691014003.6,conh_vol,Q
IDN,2024-Q1,1714324435.6,conh_vol,Q
IDN,2024-Q2,1733324302.2,conh_vol,Q
IDN,2024-Q3,1755769349.0,conh_vol,Q
IDN,2024-Q4,1776618167.8,conh_vol,Q
IDN,2025-Q1,1796670117.4,conh_vol,Q
IDN,2025-Q2,1821214020.1,conh_vol,Q
IDN,2025-Q3,1843005423.3,conh_vol,Q
IDN,2025-Q4,1866936965.6,conh_vol,Q
IDN,2026-Q1,1891317337.3,conh_vol,Q
IDN,2000-Q1,1012908548.9,gdp_vol,Q
