code,date,e
BEL,2021-01-01,0.8296439075
BEL,2021-04-01,0.8296618398333333
BEL,2021-07-01,0.848374697
BEL,2021-10-01,0.8745331265999999
BEL,2022-01-01,0.8907364831
BEL,2022-04-01,0.9392376768
BEL,2022-07-01,0.993248951
BEL,2022-10-01,0.9803069841333333
BEL,2023-01-01,0.9321337562666666
BEL,2023-04-01,0.9185379611333334
BEL,2023-07-01,0.9193362111666668
BEL,2023-10-01,0.9293334415666666
BEL,2024-01-01,0.9213149068333334
BEL,2024-04-01,0.9289777437333333
BEL,2024-07-01,0.9099683138666667
BEL,2024-10-01,0.938207141
BEL,2025-01-01,0.9500645928333333
BEL,2025-04-01,0.8813586147
BEL,2025-07-01,0.8557902660333333
BEL,2025-10-01,0.8592611594333333
BEL,2026-01-01,0.8544349091000001
BEL,2026-04-01,0.8597848124030304
BEL,2026-07-01,0.875590869565217
BRA,1995-01-01,0.85809255795923
BRA,1995-04-01,0.9053135548543843
BRA,1995-07-01,0.9401561446740853
BRA,1995-10-01,0.9632803160222223
BRA,1996-01-01,0.9800917556307813
BRA,1996-04-01,0.9951755218373197
BRA,1996-07-01,1.0125639917285565
BRA,1996-10-01,1.0303305464380965
BRA,1997-01-01,1.04919583071478
BRA,1997-04-01,1.06752174396984
BRA,1997-07-01,1.0869699127651367
BRA,1997-10-01,1.1065829316879434
BRA,1998-01-01,1.1258538944905467
BRA,1998-04-01,1.1467777472589467
BRA,1998-07-01,1.1698290206296833
BRA,1998-10-01,1.19396702666739
BRA,1999-01-01,1.7686940228648733
BRA,1999-04-01,1.7129505379743133
BRA,1999-07-01,1.8586363611363634
BRA,1999-10-01,1.9151825432222234
BRA,2000-01-01,1.7760098646804001
BRA,2000-04-01,1.80108692868004
BRA,2000-07-01,1.8144738151761566
BRA,2000-10-01,1.9299522737772732
BRA,2001-01-01,2.01578045665303
BRA,2001-04-01,2.287828332857833
BRA,2001-07-01,2.5409958186878803
BRA,2001-10-01,2.5531749966737665
BRA,2002-01-01,2.3819259768012966
BRA,2002-04-01,2.5000704192540835
BRA,2002-07-01,3.12232011534309
BRA,2002-10-01,3.6647552491975564
BRA,2003-01-01,3.49354086987316
BRA,2003-04-01,2.9902110374776334
BRA,2003-07-01,2.930621905111457
BRA,2003-10-01,2.8986753479212535
BRA,2004-01-01,2.89763662125359
BRA,2004-04-01,3.040039527088023
BRA,2004-07-01,2.983468174909093
BRA,2004-10-01,2.787078911368027
BRA,2005-01-01,2.6658925982365402
BRA,2005-04-01,2.4821000711890333
