code,date,gdp,cons_hh,cons_gov,inv,capform,exports,imports,inv_equip,inv_struct,inv_dwell,inv_ipp,cons_dur,cons_semidur,cons_nondur,cons_serv,gdp_defl,cons_hh_defl,cons_gov_defl,inv_defl,capform_defl,exports_defl,imports_defl,inv_equip_defl,inv_struct_defl,inv_dwell_defl,inv_ipp_defl,cons_dur_defl,cons_semidur_defl,cons_nondur_defl,cons_serv_defl
SVN,1997-04-01,3416.2,1975.1,602.4,873.3,902.4,1620.7,1679.2,326.8,305.1,134.5,81.3,281.8,190.0,760.1,846.5,55.579598145285935,55.18734806784207,47.9236276849642,58.81600215517241,58.2005804579168,64.1378764494044,61.8398762613243,78.53881278538812,45.77644411102776,49.32159882654933,53.24165029469548,84.75187969924812,68.2961897915169,47.973996465539,52.81382580484153
SVN,1997-07-01,3495.0,1995.3,614.3,903.3,948.2,1684.6,1746.8,358.7,306.9,142.9,83.4,225.6,193.8,796.0,859.7,56.406449218056515,56.08556330110187,48.412010402711,60.13180668353082,60.44110147883733,65.86643728495464,65.23752614281446,83.01319139088173,46.73366834170854,50.0,54.12070084360805,86.46991184361825,69.18957515173152,49.70650680654427,53.477233142572786
SVN,1997-10-01,3607.4,2061.2,639.8,906.8,916.9,1771.3,1761.7,352.1,310.8,151.2,86.2,223.3,214.5,807.1,882.9,57.9176366701453,57.90538262726148,49.670056672618585,59.9616478211995,60.10488364470665,67.09723853176257,64.74219984565066,81.65584415584416,47.80802953391786,51.18483412322275,55.61290322580645,87.91338582677166,69.9836867862969,50.73866851071855,54.814676848575154
SVN,1998-01-01,3682.2,2099.2,647.3,964.4,1047.1,1798.2,1915.0,396.2,325.0,151.2,88.9,232.7,205.7,824.0,894.8,58.75726048381949,59.129063151371746,50.291352653251494,62.17523048159371,62.64058387173964,67.40638002773926,66.03448275862068,84.29787234042553,48.83546205860255,52.06611570247934,57.615035644847694,91.68636721828211,71.250432975407,51.912051912051915,55.4983563852881
SVN,1998-04-01,3750.3,2116.4,665.9,979.6,1010.3,1802.9,1833.6,381.3,334.7,155.0,91.2,253.9,217.5,830.6,907.8,59.52762654561038,59.176825858405095,51.08945833972687,62.919904939302455,62.61155180961825,66.91037298200037,64.70920383963862,83.21693583587953,49.95522388059702,53.301237964236584,57.941550190597205,88.62129144851657,72.04372308711494,52.95842897220096,55.91278640059128
SVN,1998-07-01,3868.1,2215.0,682.1,995.0,1004.0,1818.6,1871.4,407.0,340.4,157.5,95.3,273.8,221.3,839.9,936.3,60.9005746674014,60.26718907300084,51.756582441763406,63.16257220846823,62.691226974711206,66.91687824263164,64.39779766001377,83.55573804146992,50.92758827049671,54.36658612357611,59.0092879256966,90.1250822909809,72.8919631093544,53.415161536504705,57.011508250624125
SVN,1998-10-01,3951.9,2266.2,702.7,1067.3,1093.6,1806.6,1931.4,426.9,366.6,159.1,101.4,279.4,227.7,861.1,955.2,61.658839498853226,60.45940826508016,52.616997379258706,64.3921568627451,64.74070565948377,66.65928713748063,63.740470611530974,84.80333730631705,51.83090626325463,55.55167597765364,60.82783443311338,90.92092417832735,73.73704663212435,54.014552753732275,57.46600890386235
SVN,1999-01-01,4096.4,2377.5,730.5,1117.7,1106.6,1777.9,1887.0,455.8,373.0,165.6,108.4,293.7,238.7,888.5,989.9,63.12934395660281,62.40812683746325,54.25982321919334,65.38551538551538,65.04820126969197,66.23081507971986,63.24998324059797,85.6444945509207,52.53521126760563,56.04060913705584,61.48610323312535,93.38632750397456,74.73387601753288,54.96442932261058,59.0245065887544
SVN,1999-04-01,4221.8,2470.4,750.8,1305.3,1443.1,1812.5,2221.4,531.2,469.4,169.8,118.8,377.0,242.3,916.4,1020.5,62.312551658991616,62.34290617271488,54.99963372646693,65.51395302148163,65.04259250912698,67.29662495822967,65.35643884786255,84.43808615482436,53.34090909090909,56.20655412115193,63.42765616657768,90.12670332297394,75.22508537721204,55.50575408843125,60.29185867895546
SVN,1999-07-01,4292.1,2469.0,778.7,1130.5,1149.5,1901.8,2017.0,447.7,393.1,174.0,123.3,247.4,249.4,940.6,1046.4,64.75318327198119,64.20157578594275,56.54225965727563,66.44918591665197,67.04187565612972,69.34043096219055,67.19301752281963,86.3618827160494,54.243135090382225,57.46367239101717,65.23809523809524,93.74763167866617,77.28540440037186,56.79265789155899,61.25387812445122
