code,date,gdp_output,va_total,va_agri,va_ind,va_mfg,va_constr,va_trade,va_ict,va_fin,va_realest,va_prof,va_public,va_other,va_services,taxes_prod,chainlink_disc,gdp_output_defl,va_total_defl,va_agri_defl,va_ind_defl,va_mfg_defl,va_constr_defl,va_trade_defl,va_ict_defl,va_fin_defl,va_realest_defl,va_prof_defl,va_public_defl,va_other_defl,va_services_defl,taxes_prod_defl,chainlink_disc_defl
HRV,2022-10-01,17881.6,15420.5,770.8,2739.6,2210.7,959.5,3536.0,934.1,700.0,1469.6,1177.3,2575.8,526.1,10918.9,2447.3,0.0,114.51112989574526,117.95324858108832,151.64273067086367,125.90652143940436,125.5651482449165,117.45623699351206,121.80083359167789,101.78707638661872,108.15822002472189,121.89781021897812,115.29722847909116,113.27674919741416,110.8746048472076,115.62711792612672,99.52014964824532,
HRV,2023-01-01,18915.0,16041.7,628.4,3006.7,2422.6,1112.8,4055.2,907.4,743.1,1252.8,1264.2,2454.9,535.2,11212.8,2875.6,0.0,118.82774217866566,121.14257665005286,125.55444555444556,132.5004406839415,131.97145503077846,129.5761527713088,126.60630658757415,108.56664273749702,110.05627962085308,105.15360080577472,121.08035628771192,108.3267143235372,112.15423302598494,115.90775178573274,106.60240963855422,
HRV,2023-04-01,19651.9,16387.1,570.7,3040.3,2459.2,1178.7,4119.2,927.2,734.4,1287.4,1325.0,2626.2,596.5,11615.9,3279.8,0.0,121.10618105626426,122.17690828027376,114.16283256651332,133.7630340094153,134.73591935130395,135.04812098991752,128.88610763454318,108.09046397761716,108.92910115692672,107.62414311987963,123.87808526551984,113.67354888975456,117.14454045561664,118.6312757874096,116.19371523718426,
HRV,2023-07-01,20095.2,16724.3,508.0,2959.9,2423.4,1267.3,4121.8,936.4,730.8,1482.5,1395.6,2731.6,624.5,12023.2,3352.8,0.0,123.77854978194988,123.618153595979,100.83366415244144,136.5834525402612,137.53688989784337,139.171974522293,127.95058049295336,105.79595525929274,113.19702602230484,119.47936814958092,128.59117294757212,118.00587523760151,118.7713959680487,121.47591335273196,122.22222222222224,
HRV,2023-10-01,20412.4,17059.8,465.2,2865.5,2354.7,1310.8,4195.7,1000.7,781.0,1505.4,1459.0,2858.0,654.0,12453.8,3349.8,0.0,123.63358852601996,124.71252183956784,97.05820988942207,131.3124369901934,132.868750705338,138.6649740823019,128.91995698263943,109.00871459694989,119.96927803379415,124.90872884168604,129.22940655447297,122.8032483994328,120.7310319364962,124.46954175203638,121.16761918541562,
HRV,2024-01-01,21083.4,17527.5,501.4,2701.2,2227.3,1357.0,4424.6,996.0,819.9,1461.8,1506.9,3012.2,680.1,12901.5,3560.9,0.0,127.14476969280312,128.0613437764854,98.33300647185725,126.799042388396,129.9020179633734,135.57797981816367,130.80083956602715,108.2255786156688,122.22719141323792,121.88776786458769,141.069088185733,128.6879993164438,134.11555906132912,128.20092413176332,123.06549161914636,
HRV,2024-04-01,21284.5,17726.2,568.1,2783.3,2266.5,1342.0,4393.8,959.5,821.7,1505.2,1573.5,3183.5,600.0,13037.2,3572.2,0.0,126.94053306137542,128.19804443415876,119.14848993288592,130.9049007619227,130.58884535607282,131.42689256683968,129.75606874963086,105.90507726269315,121.9139465875371,123.53906762967826,141.14639397201293,133.65380578529744,118.9532117367169,128.30248098176415,120.48704803022126,
HRV,2024-07-01,21597.1,17897.8,656.0,2781.9,2272.4,1368.5,4370.9,1050.2,811.0,1568.5,1597.5,3080.1,630.9,13109.0,3685.7,0.0,127.42629228200391,127.6927577178,130.93812375249502,126.98101150264742,126.30057803468208,131.13261786124954,128.55966351951523,116.04419889502762,121.82664864052876,125.7113088082071,141.1842686699072,128.8044160080291,118.50112697220136,127.9051614791687,124.15616789058816,
HRV,2024-10-01,21862.9,18046.1,688.0,2741.2,2214.5,1386.5,4409.0,1022.9,795.5,1570.9,1569.4,3164.4,664.4,13196.4,3829.0,0.0,128.116191715158,128.25759406405024,142.975893599335,126.9015323364659,127.08022495122232,130.72788987365644,127.33941774491682,113.00265134776843,118.66050119331744,123.69291338582676,137.65459170248224,131.14509511376352,122.99148463532023,127.14764712683548,129.6603569130744,
HRV,2025-01-01,22336.4,18443.1,534.3,2770.2,2279.7,1455.0,4482.7,1037.4,834.9,1615.1,1690.2,3269.1,700.3,13629.7,3872.9,0.0,129.61185611577585,130.2718013194513,114.7798066595059,127.33624454148472,129.08102598946832,134.80959881404615,129.77158903395767,114.2385199867856,123.01458670988654,128.508911521324,146.43909201178306,135.56854939039562,128.8974783729063,131.25294916364126,126.79740701938186,
