code,year,status,informal_rate
BOL,2015,TOTAL,83.811
BOL,2015,EES,70.957
BOL,2015,SLF,91.821
BOL,2004,TOTAL,87.722
BOL,2004,EES,74.765
BOL,2004,SLF,95.46
BOL,2000,TOTAL,68.115
BOL,2000,EES,65.496
BOL,2000,SLF,69.41
BOL,2001,TOTAL,73.484
BOL,2001,EES,69.554
BOL,2001,SLF,75.59
BOL,2002,TOTAL,75.767
BOL,2002,EES,73.693
BOL,2002,SLF,76.79
BRA,2016,TOTAL,36.911
BRA,2016,EES,20.584
BRA,2016,SLF,73.425
BRA,2017,TOTAL,38.194
BRA,2017,EES,21.887
BRA,2017,SLF,73.638
BRA,2018,TOTAL,38.691
BRA,2018,EES,22.595
BRA,2018,SLF,73.056
BRA,2019,TOTAL,38.913
BRA,2019,EES,23.008
BRA,2019,SLF,72.379
BRA,2020,TOTAL,36.73
BRA,2020,EES,20.936
BRA,2020,SLF,69.521
BRA,2021,TOTAL,38.277
BRA,2021,EES,22.202
BRA,2021,SLF,70.161
BRA,2022,TOTAL,37.634
BRA,2022,EES,23.14
BRA,2022,SLF,68.254
BRA,2023,TOTAL,37.035
BRA,2023,EES,22.751
BRA,2023,SLF,68.493
BRA,2024,TOTAL,36.504
BRA,2024,EES,22.748
BRA,2024,SLF,67.839
BRA,2025,TOTAL,35.615
BRA,2025,EES,21.823
BRA,2025,SLF,66.948
BRA,2009,TOTAL,46.802
BRA,2009,EES,28.96
BRA,2009,SLF,82.014
BRA,2011,TOTAL,42.714
BRA,2011,EES,24.725
BRA,2011,SLF,81.085
BRA,2012,TOTAL,41.619
BRA,2012,EES,24.343
BRA,2012,SLF,79.319
BRA,2013,TOTAL,40.405
BRA,2013,EES,23.123
BRA,2013,SLF,78.368
BRA,2014,TOTAL,40.724
BRA,2014,EES,22.918
BRA,2014,SLF,77.679
BRA,2015,TOTAL,40.436
BRA,2015,EES,22.53
BRA,2015,SLF,76.55
BRB,2016,TOTAL,61.775
BRB,2016,EES,62.671
BRB,2016,SLF,57.877
BRN,2014,TOTAL,33.103
BRN,2014,EES,31.354
BRN,2014,SLF,46.997
BRN,2017,TOTAL,32.937
BRN,2017,EES,31.371
BRN,2017,SLF,48.945
BRN,2018,TOTAL,33.282
BRN,2018,EES,32.542
BRN,2018,SLF,42.311
BRN,2019,TOTAL,31.436
BRN,2019,EES,30.294
BRN,2019,SLF,43.005
BRN,2020,TOTAL,34.824
BRN,2020,EES,33.394
BRN,2020,SLF,48.282
BRN,2021,TOTAL,34.041
BRN,2021,EES,32.262
BRN,2021,SLF,54.708
BRN,2022,TOTAL,31.028
BRN,2022,EES,30.473
BRN,2022,SLF,36.952
BRN,2023,TOTAL,28.429
BRN,2023,EES,27.416
BRN,2023,SLF,38.283
BRN,2024,TOTAL,21.392
BRN,2024,EES,19.783
BRN,2024,SLF,37.723
BWA,2006,TOTAL,95.055
BWA,2006,EES,100.0
BWA,2006,SLF,87.079
BWA,2019,TOTAL,70.985
BWA,2019,EES,64.536
BWA,2019,SLF,82.553
BWA,2020,TOTAL,73.852
BWA,2020,EES,67.309
BWA,2020,SLF,83.839
BWA,2021,TOTAL,71.306
BWA,2021,EES,66.022
BWA,2021,SLF,80.804
BWA,2022,TOTAL,74.397
BWA,2022,EES,70.259
BWA,2022,SLF,81.407
BWA,2023,TOTAL,76.137
BWA,2023,EES,71.486
BWA,2023,SLF,84.5
BWA,2024,TOTAL,75.582
BWA,2024,EES,68.947
BWA,2024,SLF,87.884
CHE,2007,TOTAL,3.037
CHE,2007,EES,2.407
CHE,2007,SLF,5.512
CHE,2008,TOTAL,3.374
CHE,2008,EES,2.793
CHE,2008,SLF,5.831
CHE,2009,TOTAL,2.685
CHE,2009,EES,2.358
CHE,2009,SLF,5.001
CHE,2010,TOTAL,2.894
CHE,2010,EES,2.37
CHE,2010,SLF,6.363
CHE,2011,TOTAL,0.89
CHE,2011,EES,0.316
CHE,2011,SLF,5.598
CHE,2012,TOTAL,0.534
CHE,2012,EES,0.111
CHE,2012,SLF,4.089
CHE,2013,TOTAL,0.795
CHE,2013,EES,0.134
CHE,2013,SLF,6.4
CHE,2014,TOTAL,0.856
CHE,2014,EES,0.255
CHE,2014,SLF,5.563
CHE,2015,TOTAL,0.965
CHE,2015,EES,0.318
CHE,2015,SLF,5.632
CHE,2016,TOTAL,0.751
CHE,2016,EES,0.183
CHE,2016,SLF,5.753
CHE,2017,TOTAL,0.64
CHE,2017,EES,0.149
CHE,2017,SLF,4.777
CHE,2018,TOTAL,0.901
CHE,2018,EES,0.481
CHE,2018,SLF,4.661
CHE,2019,TOTAL,0.567
CHE,2019,EES,0.199
CHE,2019,SLF,3.928
CHE,2020,TOTAL,0.625
CHE,2020,EES,0.447
CHE,2020,SLF,2.425
CHE,2021,TOTAL,1.015
CHE,2021,EES,0.76
CHE,2021,SLF,3.82
CHE,2022,TOTAL,0.753
CHE,2022,EES,0.5
CHE,2022,SLF,3.67
CHE,2023,TOTAL,0.726
CHE,2023,EES,0.496
CHE,2023,SLF,3.205
CHE,2024,TOTAL,1.093
CHE,2024,EES,0.721
CHE,2024,SLF,4.24
CHL,2018,TOTAL,28.133
CHL,2018,EES,17.835
CHL,2018,SLF,57.695
CHL,2019,TOTAL,28.066
CHL,2019,EES,17.314
CHL,2019,SLF,58.823
CHL,2020,TOTAL,25.83
CHL,2020,EES,15.749
CHL,2020,SLF,59.205
CHL,2021,TOTAL,27.354
CHL,2021,EES,15.401
CHL,2021,SLF,63.356
CHL,2022,TOTAL,27.355
CHL,2022,EES,15.834
CHL,2022,SLF,62.65
CHL,2023,TOTAL,27.355
CHL,2023,EES,15.995
CHL,2023,SLF,62.091
CHL,2024,TOTAL,27.458
CHL,2024,EES,16.26
CHL,2024,SLF,62.831
CHL,2025,TOTAL,26.368
CHL,2025,EES,15.995
CHL,2025,SLF,59.453
CHL,2010,TOTAL,42.099
CHL,2010,EES,22.171
CHL,2010,SLF,96.156
CHL,2011,TOTAL,39.869
CHL,2011,EES,21.081
CHL,2011,SLF,95.513
CHL,2012,TOTAL,38.467
CHL,2012,EES,19.605
CHL,2012,SLF,95.109
CHL,2013,TOTAL,38.457
CHL,2013,EES,18.529
CHL,2013,SLF,95.66
CHL,2014,TOTAL,38.895
CHL,2014,EES,19.191
CHL,2014,SLF,96.095
CHL,2015,TOTAL,39.007
CHL,2015,EES,19.043
CHL,2015,SLF,96.2
CHL,2016,TOTAL,39.547
CHL,2016,EES,18.738
CHL,2016,SLF,96.219
CHL,2017,TOTAL,29.314
CHL,2017,EES,18.031
CHL,2017,SLF,59.243
CIV,2012,TOTAL,94.907
CIV,2012,EES,91.57
CIV,2012,SLF,95.457
CIV,2013,TOTAL,96.526
CIV,2013,EES,86.818
CIV,2013,SLF,99.441
CIV,2016,TOTAL,93.513
CIV,2016,EES,81.535
CIV,2016,SLF,97.571
CIV,2019,TOTAL,91.677
CIV,2019,EES,74.129
CIV,2019,SLF,97.499
CIV,2017,TOTAL,86.437
CIV,2017,EES,68.571
CIV,2017,SLF,91.316
CIV,2022,TOTAL,92.125
CIV,2022,EES,75.096
CIV,2022,SLF,98.76
CMR,2007,TOTAL,90.975
CMR,2007,EES,66.048
CMR,2007,SLF,96.549
CMR,2014,TOTAL,87.099
CMR,2014,EES,59.473
CMR,2014,SLF,94.956
COD,2005,TOTAL,98.606
COD,2005,EES,95.328
COD,2005,SLF,98.977
COD,2012,TOTAL,97.344
COD,2012,EES,92.508
COD,2012,SLF,98.34
COD,2020,TOTAL,96.298
COD,2020,EES,92.495
COD,2020,SLF,96.822
COG,2009,TOTAL,85.278
COG,2009,EES,82.603
COG,2009,SLF,90.267
