code,date,gdp,cons_hh,cons_gov,inv,capform,exports,imports,src_gdp,src_cons_hh,src_cons_gov,src_inv,src_capform,src_exports,src_imports
ESP,2024-07-01,400010.0,221025.0,77594.0,80577.0,84664.0,148590.0,131863.0,oecd,oecd,oecd,oecd,oecd,oecd,oecd
ESP,2024-10-01,407853.0,226030.0,78284.0,83262.0,87143.0,148937.0,132541.0,oecd,oecd,oecd,oecd,oecd,oecd,oecd
ESP,2025-01-01,412539.0,230045.0,78878.0,84552.0,87516.0,154402.0,138302.0,oecd,oecd,oecd,oecd,oecd,oecd,oecd
ESP,2025-04-01,416719.0,232299.0,79511.0,85270.0,88614.0,154399.0,138104.0,oecd,oecd,oecd,oecd,oecd,oecd,oecd
ESP,2025-07-01,422748.0,235120.0,81056.0,87792.0,91259.0,153985.0,138672.0,oecd,oecd,oecd,oecd,oecd,oecd,oecd
ESP,2025-10-01,435146.0,239983.0,84525.0,90084.0,93827.0,155344.0,138533.0,oecd,oecd,oecd,oecd,oecd,oecd,oecd
ESP,2026-01-01,437424.0,244233.0,83276.0,90650.0,94064.0,155892.0,140041.0,oecd,oecd,oecd,oecd,oecd,oecd,oecd
ESP,2026-04-01,441437.0,247775.0,84379.0,91386.0,94780.0,159775.0,145272.0,oecd,oecd,oecd,oecd,oecd,oecd,oecd
JPN,1955-04-01,2174774.440399798,1242564.0009789332,336759.32007329486,471361.4298748212,557938.958008772,225269.92378538972,209017.45482524182,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68
JPN,1955-07-01,2317050.1618746123,1292320.807160168,334224.3169581818,498626.1806935277,644501.3423442951,241979.99219770514,215907.58136187246,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68
JPN,1955-10-01,2322403.7523063896,1331205.0029681535,329788.06150673406,538734.1455755294,638120.1409349457,251788.625395857,254883.83221299708,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68
JPN,1956-01-01,2478225.6798737324,1380213.586500046,353038.7932031612,582246.3358718986,712413.3554109465,266779.65500024887,252926.1209830319,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68
JPN,1956-04-01,2500721.575021403,1400766.3273991558,341750.1074561736,639096.9002918346,724620.8711505716,285916.60172963276,276240.68199443526,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68
JPN,1956-07-01,2556014.97114759,1423587.1182040828,344047.4540292448,683506.5681974462,801133.6339428681,286321.08144914417,314021.96625064604,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68
JPN,1956-10-01,2632722.729000887,1456298.477154998,346265.5817549687,753386.0317032795,877523.0884953702,299340.2724209179,354981.3531529043,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68
JPN,1957-01-01,2744120.6713186814,1511713.7171218805,356841.2978758308,782012.4726877329,958721.5643998459,315696.4210786608,400669.75679248094,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68
JPN,1957-04-01,2948151.9511075355,1569139.8054588693,365238.49569464265,871574.5485893632,1130736.5589127443,319109.2187120384,422001.18175275065,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68
